comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
Ugy5bC7whInBS-ebNvR4AaABAg,OtqQYqRNDGI,This may be unrelated to the video but I would like to know your opinion best resources to get interview practice for data science Jobs. Specifically the technical portion. I've looked at hackerrank leetcode etc. But I feel that those are more directed for full stack developers? Any feedback would help.,2021-01-31,1,1,false
UgzhYu7RbE5hor29t054AaABAg,OtqQYqRNDGI,Now do it for one hot encoding. ;),2021-01-31,1,1,false
Ugx_5o8cg5hRLTl8gLJ4AaABAg,RAMxzqSMDKE,Nigeria to the world🇳🇬🇳🇬🇳🇬🇳🇬,2021-01-31,1,1,false
Ugz7qJOd4MfR0NP4KjR4AaABAg,OtqQYqRNDGI,'This is the perfect example of problem solving without understanding the content of ''dataset'' 😂. Your rock 🤘🏻',2021-01-31,2,2,false
UgwtsPN9H2L3UquSHSp4AaABAg,uic34RTaI-w,My one most important thing is learning something that will make me a better data scientist every single day..',2021-01-31,2,2,false
UgwFzeC71fOt5k4tH_l4AaABAg,1Cf7SdnBncg,She hotter in personal.,2021-02-26,0,0,false
UgyEkU_YWvRom19YYEx4AaABAg,1FrY7ARSf10,Her daddy is here,2021-02-26,0,0,false
UgxfSxEN9zpANAYL3-l4AaABAg,1FrY7ARSf10,Good luck John snow,2021-02-26,0,0,false
Ugy7G_naoiG74E3OpYx4AaABAg,1FrY7ARSf10,Her body guard 6ft dude,2021-02-26,0,0,false
UgwhpCkXERi1ovD1uIN4AaABAg,1FrY7ARSf10,Email?,2021-02-26,0,0,false
Ugw3LlBedheXtLjZYup4AaABAg,2OnXytYziF0,im 18 and im tryna transfer into sports analyst jobs.. how does that work?,2021-02-26,2,1,false
UgwNbvix0TgKL0rtVcd4AaABAg,4OZip0cgOho,If I got hit. It's for the club,2021-02-26,0,0,false
Ugx6_ugxWj1rJ8-3KeJ4AaABAg,4OZip0cgOho,I'll get her email address.,2021-02-26,0,0,false
UgyfDEABR0XuGFfZQDd4AaABAg,4OZip0cgOho,Ok poor boy. We find ways.,2021-02-26,0,0,false
