video_surrogate_key,video_id,video_title,video_publish_date,views,watch_time_hours,watch_time_minutes,avg_view_duration_seconds,avg_view_percentage,likes,comments_added,estimated_revenue_usd
8e5ef405-6633-442d-8337-f5a002666196,GO420aMtHfk,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16 00:00:00 UTC,6827,584.6419,35078.51,308,8.43,239,33,27.292
61ae93f9-1396-4ed1-b241-0ef2e89cc802,DW55gaQ_Egk,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27 00:00:00 UTC,7480,452.4784,27148.7,217,30.76,332,27,23.044
60f576f6-e423-4b8f-a78f-c8c5a34baae5,OtqQYqRNDGI,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29 00:00:00 UTC,8009,79.7725,4786.35,35,60.78,380,56,10.292
7a6d3ea3-793c-439b-a1c9-bfb88b6c7795,4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),2020-05-08 00:00:00 UTC,1253559,65850.7042,3951042.25,189,36.65,46903,907,7959.533
67dcca73-f06e-4db5-a01c-ab31e7d65493,j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18 00:00:00 UTC,721,22.545,1352.7,112,60.52,35,3,2.728
fae786a8-349e-4c19-bbbe-1645eceb8d68,35g8fCi-kbw,7 Incredible Books That Transformed My Health and My Life,2021-11-12 00:00:00 UTC,6192,368.9579,22137.47,214,27.05,343,56,24.375
7b52e120-a4a3-44ed-8301-22062d2a71f4,tJI-1mHeXoA,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19 00:00:00 UTC,5483,274.8013,16488.08,180,11.83,157,32,47.386
7e3a2cd1-e498-4544-8175-f4f314c3b008,q8cEt8gj3zY,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16 00:00:00 UTC,4722,193.2964,11597.78,147,55.4,131,14,26.586
51f5f13e-0c1c-4367-81dd-b44890a16859,s1gD35Z4eUc,Why are APIs Important for Data Science?,2021-07-09 00:00:00 UTC,6540,309.6966,18581.8,170,52.94,351,37,37.014
dd30338d-de75-4c61-8e25-896aa2a4a194,QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30 00:00:00 UTC,2188,231.3275,13879.65,380,16.61,115,172,7.701
7dae13cc-660d-4f5c-b5f4-7ffc4dd55b3c,WRF_dKZ_i24,Sh*t Data Scientists Say (Parody),2020-10-05 00:00:00 UTC,8724,197.4765,11848.59,81,63.66,568,69,20.731
2f35331b-74ab-4529-8918-cb0b7ef39c63,SaWxVk7rDp4,What is a lambda function (python)? #shorts,2021-05-13 00:00:00 UTC,8275,85.6748,5140.49,37,66.56,540,24,6.943
04639fde-e8d7-4705-8557-e880af9bd893,143WWA5Sy9k,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16 00:00:00 UTC,2271,165.2476,9914.86,261,5.23,93,13,5.929
cd7d2d86-66f4-42d3-be1b-dcffb6ddd3a6,T7BQJJIGrmc,Data Science: Pros and Cons,2019-06-30 00:00:00 UTC,3919,217.5296,13051.78,199,45.21,177,12,17.27
cb44e8e6-3365-4a54-924b-248200580a56,nUOh_lDMHOU,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15 00:00:00 UTC,18329,1614.7837,96887.02,317,14.37,549,44,51.945
bfc1c239-7fab-48ba-8974-7b34688e4e4d,ammCGdzSoag,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29 00:00:00 UTC,5883,368.4759,22108.55,225,7.6,191,22,32.398
75b4856a-4f4b-40d6-8b01-0b06faf8d1b0,QQLToUlgN7A,The Best Computer for Data Science Beginners,2020-07-10 00:00:00 UTC,27597,1232.5698,73954.19,160,40.7,691,66,97.057
82d6c7d3-0fb3-47ec-bcee-62408633efdb,ITAxTid_1YU,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08 00:00:00 UTC,3615,172.3023,10338.14,171,47.53,193,45,11.628
d61399af-d088-4d30-9b79-18647e19b00e,IFceyuL6GZY,How I Became A Data Scientist From a Business Background,2018-11-12 00:00:00 UTC,5515,363.4858,21809.15,237,38.33,168,11,24.358
47f43e45-18bc-431e-bcd5-2eea505b3c3a,tv1e22u2COk,My Top 5 Data Science Resources for 2019,2019-01-05 00:00:00 UTC,3406,109.5298,6571.79,115,32.98,112,7,12.416
c46a817b-e5e4-4b4a-93d9-ad26d6db9597,o-wsyxWbPOw,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03 00:00:00 UTC,11808,545.6332,32737.99,166,45.08,592,65,62.568
df60d7f4-4ae0-45c6-9753-da268eb1f191,ei1m5lDQyBg,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22 00:00:00 UTC,2794,283.7009,17022.05,365,15.98,80,14,21.144
3972ceb4-c953-468a-9023-0dc9ac879cfe,f6NPw582FFc,Data Science Explained with ... Cooking?,2020-02-07 00:00:00 UTC,3947,236.9106,14214.64,216,40.54,258,24,18.412
3769c50d-a6df-4df9-86e9-73c028d7fb2b,myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07 00:00:00 UTC,21008,696.8395,41810.37,119,17.48,675,151,56.411
fdec9133-7006-477a-91f1-3f4c60778631,_0rHU6qAQe0,git for Data Science Made Simple... (Hopefully),2020-10-23 00:00:00 UTC,12643,526.0772,31564.63,149,38.21,638,48,48.982
838a5435-c7e2-4154-960f-6f3f9637fa6f,agHKuUoMwvY,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17 00:00:00 UTC,12427,465.6674,27940.04,134,18.97,539,58,34.1
59675f17-ea9d-4cf8-9ba8-961447baf737,4CpmB4TR2C4,Work From Home Data Scientist: Day in the Life,2019-04-12 00:00:00 UTC,26586,1143.6495,68618.97,154,46.79,728,46,91.069
1159ded6-2c55-4ea7-aa81-f171ec86f30b,UKuK2fXu_dU,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30 00:00:00 UTC,6692,678.5389,40712.33,365,15.53,281,29,29.907
373d1468-d31d-4a57-9cc4-967127a2b667,jam0xApfC-U,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11 00:00:00 UTC,4028,220.7436,13244.62,197,24.55,149,32,11.996
